Cohort,Index,Customers,Cohort Size,retention %
2011-01,0,31,31,100.0
2011-01,1,3,31,9.68
2011-01,3,2,31,6.45
2011-01,4,2,31,6.45
2011-01,6,2,31,6.45
2011-01,7,4,31,12.9
2011-01,8,5,31,16.13
2011-01,9,3,31,9.68
2011-01,10,6,31,19.35
2011-01,11,5,31,16.13
2011-01,12,3,31,9.68
2011-01,14,3,31,9.68
2011-01,15,3,31,9.68
2011-01,16,3,31,9.68
2011-01,17,4,31,12.9
2011-01,18,3,31,9.68
2011-01,19,2,31,6.45
2011-01,20,4,31,12.9
2011-01,22,6,31,19.35
2011-01,23,5,31,16.13
2011-01,24,2,31,6.45
2011-01,26,4,31,12.9
2011-01,27,5,31,16.13
2011-01,28,3,31,9.68
2011-01,29,5,31,16.13
2011-01,30,1,31,3.23
2011-01,31,1,31,3.23
2011-01,32,11,31,35.48
2011-01,33,2,31,6.45
2011-01,34,9,31,29.03
2011-01,35,6,31,19.35
2011-01,36,5,31,16.13
2011-01,37,1,31,3.23
2011-01,38,6,31,19.35
2011-01,39,4,31,12.9
2011-01,40,5,31,16.13
2011-01,41,4,31,12.9
2011-01,42,1,31,3.23
2011-01,43,2,31,6.45
2011-01,44,8,31,25.81
2011-01,45,9,31,29.03
2011-01,46,9,31,29.03
2011-01,47,6,31,19.35
2011-02,0,25,25,100.0
2011-02,1,4,25,16.0
2011-02,2,2,25,8.0
2011-02,3,1,25,4.0
2011-02,5,2,25,8.0
2011-02,6,2,25,8.0
2011-02,7,3,25,12.0
2011-02,8,3,25,12.0
2011-02,9,5,25,20.0
2011-02,10,4,25,16.0
2011-02,11,1,25,4.0
2011-02,12,1,25,4.0
2011-02,13,1,25,4.0
2011-02,14,2,25,8.0
2011-02,15,2,25,8.0
2011-02,16,2,25,8.0
2011-02,17,3,25,12.0
2011-02,19,6,25,24.0
2011-02,20,2,25,8.0
2011-02,21,3,25,12.0
2011-02,22,2,25,8.0
2011-02,24,4,25,16.0
2011-02,25,1,25,4.0
2011-02,26,1,25,4.0
2011-02,27,4,25,16.0
2011-02,29,3,25,12.0
2011-02,30,4,25,16.0
2011-02,31,4,25,16.0
2011-02,32,4,25,16.0
2011-02,33,4,25,16.0
2011-02,34,4,25,16.0
2011-02,35,4,25,16.0
2011-02,36,3,25,12.0
2011-02,37,4,25,16.0
2011-02,38,2,25,8.0
2011-02,39,2,25,8.0
2011-02,40,5,25,20.0
2011-02,41,4,25,16.0
2011-02,42,3,25,12.0
2011-02,43,5,25,20.0
2011-02,44,6,25,24.0
2011-02,45,7,25,28.0
2011-02,46,3,25,12.0
2011-03,0,65,65,100.0
2011-03,1,4,65,6.15
2011-03,2,2,65,3.08
2011-03,3,8,65,12.31
2011-03,4,7,65,10.77
2011-03,6,7,65,10.77
2011-03,7,5,65,7.69
2011-03,8,8,65,12.31
2011-03,9,6,65,9.23
2011-03,10,1,65,1.54
2011-03,11,2,65,3.08
2011-03,12,6,65,9.23
2011-03,13,3,65,4.62
2011-03,14,5,65,7.69
2011-03,15,5,65,7.69
2011-03,16,3,65,4.62
2011-03,17,5,65,7.69
2011-03,18,9,65,13.85
2011-03,19,11,65,16.92
2011-03,20,13,65,20.0
2011-03,21,12,65,18.46
2011-03,22,4,65,6.15
2011-03,23,4,65,6.15
2011-03,24,6,65,9.23
2011-03,25,8,65,12.31
2011-03,26,8,65,12.31
2011-03,27,6,65,9.23
2011-03,28,9,65,13.85
2011-03,29,5,65,7.69
2011-03,30,13,65,20.0
2011-03,31,8,65,12.31
2011-03,32,14,65,21.54
2011-03,33,10,65,15.38
2011-03,34,2,65,3.08
2011-03,35,6,65,9.23
2011-03,36,6,65,9.23
2011-03,37,11,65,16.92
2011-03,38,14,65,21.54
2011-03,39,10,65,15.38
2011-03,40,12,65,18.46
2011-03,41,5,65,7.69
2011-03,42,20,65,30.77
2011-03,43,9,65,13.85
2011-03,44,17,65,26.15
2011-03,45,18,65,27.69
2011-04,0,56,56,100.0
2011-04,1,6,56,10.71
2011-04,2,2,56,3.57
2011-04,3,4,56,7.14
2011-04,4,3,56,5.36
2011-04,5,8,56,14.29
2011-04,6,6,56,10.71
2011-04,7,9,56,16.07
2011-04,8,8,56,14.29
2011-04,9,1,56,1.79
2011-04,10,4,56,7.14
2011-04,11,5,56,8.93
2011-04,12,8,56,14.29
2011-04,13,10,56,17.86
2011-04,14,6,56,10.71
2011-04,15,5,56,8.93
2011-04,16,6,56,10.71
2011-04,17,9,56,16.07
2011-04,18,3,56,5.36
2011-04,19,14,56,25.0
2011-04,20,11,56,19.64
2011-04,21,3,56,5.36
2011-04,22,2,56,3.57
2011-04,23,7,56,12.5
2011-04,24,4,56,7.14
2011-04,25,10,56,17.86
2011-04,26,9,56,16.07
2011-04,27,7,56,12.5
2011-04,28,5,56,8.93
2011-04,29,14,56,25.0
2011-04,30,6,56,10.71
2011-04,31,14,56,25.0
2011-04,32,15,56,26.79
2011-04,33,4,56,7.14
2011-04,34,3,56,5.36
2011-04,35,12,56,21.43
2011-04,36,5,56,8.93
2011-04,37,11,56,19.64
2011-04,38,5,56,8.93
2011-04,39,6,56,10.71
2011-04,40,9,56,16.07
2011-04,41,15,56,26.79
2011-04,42,8,56,14.29
2011-04,43,14,56,25.0
2011-04,44,14,56,25.0
2011-05,0,56,56,100.0
2011-05,1,5,56,8.93
2011-05,2,5,56,8.93
2011-05,3,4,56,7.14
2011-05,4,10,56,17.86
2011-05,5,2,56,3.57
2011-05,6,12,56,21.43
2011-05,7,10,56,17.86
2011-05,8,4,56,7.14
2011-05,9,3,56,5.36
2011-05,10,4,56,7.14
2011-05,11,7,56,12.5
2011-05,12,2,56,3.57
2011-05,13,5,56,8.93
2011-05,14,2,56,3.57
2011-05,15,5,56,8.93
2011-05,16,8,56,14.29
2011-05,17,6,56,10.71
2011-05,18,11,56,19.64
2011-05,19,8,56,14.29
2011-05,20,5,56,8.93
